SUBSCRIBER_ID,BNUM_OUT,BNUM_IN,PROD_CNT_MACRO,REV_BUN_MAC,REV_OUT,USAGE_OUT_INT_DUR,USAGE_OUT_OFFNET_DUR,USAGE_OUT_ONNET_DUR,LNE_TENURE,TOPUP_AMT,TOPUP_CNT,CHURN
1,2.0,3.0,-1.0,-1.0,0.0,0.0,2.0,1.0,163,-1.0,-1.0,1
2,52.0,32.0,3.0,2.0,1.0,0.0,0.0,966.0,76,2.0,3.0,0
3,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,118,-1.0,0.0,0
4,4.0,5.0,-1.0,-1.0,3.0,0.0,5.0,5.0,107,4.0,2.0,1
5,0.0,14.0,0.0,-1.0,0.0,0.0,0.0,0.0,149,6.0,2.0,0
6,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,139,-1.0,-1.0,0
7,12.0,22.0,1.0,2.0,4.0,0.0,19.0,15.0,105,8.0,4.0,0
8,0.0,5.0,-1.0,-1.0,0.0,0.0,0.0,0.0,151,-1.0,-1.0,0
9,0.0,7.0,-1.0,-1.0,0.0,0.0,0.0,0.0,95,-1.0,-1.0,0
10,17.0,26.0,-1.0,-1.0,5.0,0.0,29.0,57.0,163,7.0,2.0,0
11,2.0,5.0,-1.0,-1.0,1.0,0.0,2.0,3.0,114,3.0,1.0,0
12,16.0,27.0,1.0,1.0,8.0,0.0,22.0,236.8,102,7.0,5.0,0
13,11.0,20.0,1.0,2.0,2.0,0.0,8.0,95.0,97,6.0,2.0,0
14,5.0,5.0,-1.0,-1.0,2.0,0.0,0.0,0.0,76,2.0,2.0,0
15,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,103,1.0,1.0,1
16,10.0,13.0,-1.0,-1.0,3.0,0.0,9.0,5.0,159,6.0,2.0,0
17,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,71,-1.0,-1.0,1
18,6.0,10.0,0.0,-1.0,3.0,0.0,24.0,4.0,148,3.0,1.0,0
19,1.0,0.0,-1.0,-1.0,1.0,0.0,6.0,0.0,150,-1.0,-1.0,1
20,0.0,2.0,0.0,-1.0,2.4848619768477294,0.0,0.0,0.0,149,10.0,1.0,0
21,1.0,5.0,0.0,-1.0,0.0,0.0,0.0,885.0,164,-1.0,-1.0,1
22,2.0,2.0,0.0,-1.0,1.0,0.0,1.0,5.0,100,1.0,1.0,0
23,7.0,4.0,0.0,-1.0,0.0,0.0,0.0,33.0,93,-1.0,0.0,1
